ETFSym,HoldingSym,HoldingPercentage
HDG,MWA,0.0002
HDG,PTEN,0.0002
HDG,DDD,0.0002
HDG,ODP,0.0002
HDG,TOWN,0.0002
HDG,LNTH,0.0002
HDG,THS,0.0002
HDG,ELY,0.0002
HDG,MNTV,0.0002
HDG,EFSC,0.0002
HDG,CBZ,0.0002
HDG,GNW,0.0002
HDG,OM,0.0002
HDG,CCS,0.0002
HDG,PDCO,0.0002
HDG,KWR,0.0002
HDG,VSTO,0.0002
HDG,PTCT,0.0002
HDG,MFA,0.0002
HDG,ROIC,0.0002
HDG,RVLV,0.0002
HDG,AAON,0.0002
HDG,EVH,0.0002
HDG,BANR,0.0002
HDG,PRAA,0.0002
HDG,SANM,0.0002
HDG,AXNX,0.0002
HDG,KOD,0.0002
HDG,NPO,0.0002
HDG,HLIO,0.0002
HDG,ESE,0.0002
HDG,UNFI,0.0002
HDG,SMCI,0.0002
HDG,UNIT,0.0002
HDG,WERN,0.0002
HDG,TTGT,0.0002
HDG,HUBG,0.0002
HDG,MED,0.0002
HDG,SAVA,0.0002
HDG,LPRO,0.0002
HDG,TPH,0.0002
HDG,NARI,0.0002
HDG,EBS,0.0002
HDG,ZNTL,0.0002
HDG,FRME,0.0002
HDG,NWBI,0.0002
HDG,MSGE,0.0002
HDG,TROX,0.0002
HDG,GBT,0.0002
HDG,IHRT,0.0002
HDG,SBH,0.0002
HDG,TRN,0.0002
HDG,CELH,0.0002
HDG,EPC,0.0002
HDG,JACK,0.0002
HDG,FBC,0.0002
HDG,GHC,0.0002
HDG,ANF,0.0002
HDG,BGS,0.0002
HDG,GTN,0.0002
HDG,ITRI,0.0002
HDG,EGBN,0.0002
HDG,NHI,0.0002
HDG,JELD,0.0002
HDG,IOSP,0.0002
HDG,CPK,0.0002
HDG,LC,0.0002
HDG,CORT,0.0002
HDG,MDRX,0.0002
HDG,SJW,0.0002
HDG,WLL,0.0002
HDG,FCPT,0.0002
HDG,FCEL,0.0002
HDG,PRG,0.0002
HDG,AMKR,0.0002
HDG,WRE,0.0002
HDG,SAVE,0.0002
HDG,PRGS,0.0002
HDG,FOE,0.0002
HDG,GKOS,0.0002
HDG,SHO,0.0002
HDG,FFBC,0.0002
HDG,DORM,0.0002
HDG,TWST,0.0002
HDG,AKR,0.0002
HDG,PFS,0.0002
HDG,FWRD,0.0002
HDG,MYGN,0.0002
HDG,CRS,0.0002
HDG,VICR,0.0002
HDG,CAKE,0.0002
HDG,INSM,0.0002
HDG,HOPE,0.0002
HDG,ALGT,0.0002
HDG,ABR,0.0002
HDG,NKLA,0.0002
HDG,HMHC,0.0002
HDG,PD,0.0002
HDG,EAT,0.0002
HDG,MGEE,0.0002
HDG,CTRE,0.0002
HDG,SJI,0.0002
HDG,MD,0.0002
HDG,IRT,0.0002
HDG,ETWO,0.0002
HDG,OAS,0.0002
HDG,NMIH,0.0002
HDG,DY,0.0002
HDG,XHR,0.0002
HDG,AJRD,0.0002
HDG,RCII,0.0002
HDG,MARA,0.0002
HDG,HAE,0.0002
HDG,ALTR,0.0002
HDG,VCRA,0.0002
HDG,CENTA,0.0002
HDG,JJSF,0.0002
HDG,SBCF,0.0002
HDG,PRK,0.0002
HDG,SASR,0.0002
HDG,HTLF,0.0002
HDG,TRMK,0.0002
HDG,AIN,0.0002
HDG,URBN,0.0002
BUFD,MISXX,0.0003
HDG,SMPL,0.0003
HDG,SKY,0.0003
HDG,AWR,0.0003
HDG,KLIC,0.0003
HDG,STAA,0.0003
HDG,FORM,0.0003
HDG,TWNK,0.0003
HDG,TRUP,0.0003
HDG,AEIS,0.0003
HDG,SAFM,0.0003
HDG,VC,0.0003
HDG,APLS,0.0003
HDG,PEB,0.0003
HDG,HI,0.0003
HDG,SFM,0.0003
HDG,NWE,0.0003
HDG,HOMB,0.0003
HDG,BPMC,0.0003
HDG,AEO,0.0003
HDG,HP,0.0003
HDG,KFY,0.0003
HDG,AIT,0.0003
HDG,SONO,0.0003
HDG,CIM,0.0003
HDG,HASI,0.0003
HDG,FLOW,0.0003
HDG,QLYS,0.0003
HDG,CWK,0.0003
HDG,CARG,0.0003
HDG,RRR,0.0003
HDG,WBT,0.0003
HDG,OFC,0.0003
HDG,PNM,0.0003
HDG,COLB,0.0003
HDG,FIX,0.0003
HDG,SFNC,0.0003
HDG,SI,0.0003
HDG,TMHC,0.0003
HDG,ISBC,0.0003
HDG,SHOO,0.0003
HDG,BCC,0.0003
HDG,ESGR,0.0003
HDG,UPWK,0.0003
HDG,FHI,0.0003
HDG,DNLI,0.0003
HDG,CWT,0.0003
HDG,FOCS,0.0003
HDG,BL,0.0003
HDG,MC,0.0003
HDG,EPRT,0.0003
HDG,RLI,0.0003
HDG,CBU,0.0003
HDG,NAVI,0.0003
HDG,KBH,0.0003
HDG,ENV,0.0003
HDG,SBRA,0.0003
HDG,CNX,0.0003
HDG,BOX,0.0003
HDG,VRNT,0.0003
HDG,MTSI,0.0003
HDG,LTHM,0.0003
HDG,NSP,0.0003
HDG,BECN,0.0003
HDG,VIAV,0.0003
HDG,SITM,0.0003
HDG,AIMC,0.0003
HDG,MGY,0.0003
HDG,EQC,0.0003
HDG,IBTX,0.0003
HDG,WSFS,0.0003
HDG,RCM,0.0003
HDG,PRFT,0.0003
HDG,FELE,0.0003
HDG,AX,0.0003
HDG,FBP,0.0003
HDG,COOP,0.0003
HDG,MAC,0.0003
HDG,ATI,0.0003
HDG,MSTR,0.0003
HDG,MLI,0.0003
HDG,MTH,0.0003
HDG,HRI,0.0003
HDG,NSIT,0.0003
HDG,IRTC,0.0003
HDG,MMSI,0.0003
HDG,CVBF,0.0003
HDG,SEAS,0.0003
HDG,DOC,0.0003
HDG,SXT,0.0003
HDG,BCO,0.0003
HDG,UCBI,0.0003
HDG,NEOG,0.0003
HDG,DEN,0.0003
HDG,ALRM,0.0003
HDG,DAN,0.0003
HDG,CBRL,0.0003
HDG,BNL,0.0003
HDG,CNO,0.0003
HDG,ORA,0.0003
HDG,EXLS,0.0003
HDG,LHCG,0.0003
HDG,EYE,0.0003
HDG,PCH,0.0003
HDG,GATX,0.0003
HDG,FIBK,0.0003
HDG,GPI,0.0003
HDG,PBH,0.0003
HDG,ENS,0.0003
HDG,ARVN,0.0003
HDG,FULT,0.0003
HDG,FLR,0.0003
HDG,AVA,0.0003
HDG,INDB,0.0003
HDG,LANC,0.0003
HDG,ABM,0.0003
HDG,ALE,0.0003
HDG,ETRN,0.0003
HDG,MLKN,0.0003
HDG,FN,0.0003
HDG,PSB,0.0003
HDG,NJR,0.0003
HDG,LIVN,0.0003
HDG,LCII,0.0003
HDG,ABCB,0.0003
HDG,BKU,0.0003
HDG,QTWO,0.0003
HDG,CRC,0.0003
HDG,CATY,0.0003
HDG,ACAD,0.0003
HDG,BLKB,0.0003
HDG,DBRG,0.0003
HDG,CWST,0.0003
HDG,BCRX,0.0003
HDG,TCBI,0.0003
HDG,REZI,0.0003
HDG,BEAM,0.0003
HDG,MP,0.0003
